Source;Target;Label;Weight
73;1;"Edge from 73 to 1";0.39075
87;2;"Edge from 87 to 2";0.051872
89;2;"Edge from 89 to 2";0.31894
74;3;"Edge from 74 to 3";0.27157
78;4;"Edge from 78 to 4";0.016061
79;4;"Edge from 79 to 4";0.35887
89;4;"Edge from 89 to 4";0.015638
76;5;"Edge from 76 to 5";0.23215
85;5;"Edge from 85 to 5";0.012346
91;5;"Edge from 91 to 5";0.040942
75;6;"Edge from 75 to 6";0.013164
78;6;"Edge from 78 to 6";0.33851
82;6;"Edge from 82 to 6";0.010306
75;7;"Edge from 75 to 7";0.052037
78;7;"Edge from 78 to 7";0.02363
89;7;"Edge from 89 to 7";0.026512
91;7;"Edge from 91 to 7";0.31526
90;8;"Edge from 90 to 8";0.37899
23;9;"Edge from 23 to 9";0.010791
85;9;"Edge from 85 to 9";0.13345
30;10;"Edge from 30 to 10";0.075949
36;10;"Edge from 36 to 10";0.010687
88;10;"Edge from 88 to 10";0.041451
103;10;"Edge from 103 to 10";0.14488
42;11;"Edge from 42 to 11";0.030387
112;11;"Edge from 112 to 11";0.3617
64;12;"Edge from 64 to 12";0.094103
96;12;"Edge from 96 to 12";0.050488
75;13;"Edge from 75 to 13";0.35339
18;14;"Edge from 18 to 14";0.23506
99;14;"Edge from 99 to 14";0.069967
59;15;"Edge from 59 to 15";0.012771
83;15;"Edge from 83 to 15";0.40704
108;15;"Edge from 108 to 15";0.012907
32;16;"Edge from 32 to 16";0.26279
48;16;"Edge from 48 to 16";0.040938
50;16;"Edge from 50 to 16";0.090825
86;16;"Edge from 86 to 16";0.11843
74;17;"Edge from 74 to 17";0.17749
104;17;"Edge from 104 to 17";0.2685
14;18;"Edge from 14 to 18";0.23506
99;18;"Edge from 99 to 18";0.30878
93;19;"Edge from 93 to 19";0.42779
75;20;"Edge from 75 to 20";0.021928
82;20;"Edge from 82 to 20";0.035859
97;20;"Edge from 97 to 20";0.3285
75;21;"Edge from 75 to 21";0.012536
97;21;"Edge from 97 to 21";0.011858
115;21;"Edge from 115 to 21";0.35641
80;22;"Edge from 80 to 22";0.23633
99;22;"Edge from 99 to 22";0.017851
9;23;"Edge from 9 to 23";0.010791
